"标题","执行时间","总数","成功","跳过","失败","完成时间","附件Excel表格","任务完成通知邮件","创建时间","耗时（分钟）","标签"
"AutoPrint-2026-06-29 09:30","6/29/2026 9:30 AM","79","75","3","1","6/29/2026 9:59 AM","True","True","6/29/2026 10:01 AM","29",
"AutoPrint-2026-06-26T01:30:00Z","6/26/2026 9:30 AM","222","221","0","1","6/26/2026 10:56 AM","True","True","6/26/2026 1:27 PM","86","[""工作流运行失败""]"
"AutoPrint-2026-06-25T01:30:00Z","6/25/2026 9:30 AM","96","96","0","0","6/25/2026 10:11 AM","True","True","6/25/2026 11:02 AM","42","[""工作流运行失败""]"
"AutoPrint-2026-06-24 09:30","6/24/2026 9:30 AM","115","115","0","0","6/24/2026 10:21 AM","True","True","6/24/2026 10:25 AM","51",
"AutoPrint-2026-06-23T01:30:00Z","6/23/2026 9:30 AM","55","55","0","0","6/23/2026 9:51 AM","True","True","6/23/2026 9:54 AM","22",
"每日报销单据打印","6/22/2026 9:30 AM","0","0","0","0","6/22/2026 9:30 AM","False","True","6/22/2026 9:31 AM","0",
"AutoPrint-2026-06-19T01:30:00Z","6/19/2026 9:30 AM","97","96","0","1","6/19/2026 10:09 AM","True","True","6/19/2026 10:14 AM","40",
"AutoPrint-2026-06-18 09:30","6/18/2026 9:30 AM","1","1","0","0","6/18/2026 9:30 AM","True","True","6/18/2026 9:32 AM","0",
"AutoPrint-2026-06-17 09:30","6/17/2026 9:30 AM","10","10","0","0","6/17/2026 9:32 AM","True","True","6/17/2026 6:10 PM","2",
"每日报销单据打印","6/16/2026 9:30 AM","0","0","0","0","6/16/2026 9:30 AM","False","True","6/22/2026 10:04 AM","0",
"AutoPrint-2026-06-15T01:30:00Z","6/15/2026 9:30 AM","20","20","0","0","6/15/2026 9:37 AM","True","True","6/22/2026 10:07 AM","7",
"AutoPrint-2026-06-12T01:30:00Z","6/12/2026 9:30 AM","84","84","0","0","6/12/2026 10:05 AM","True","True","6/18/2026 5:13 PM","35",
"AutoPrint-2026-06-11T01:30:00Z","6/11/2026 9:30 AM","77","77","0","0","6/11/2026 10:01 AM","True","True","6/18/2026 5:18 PM","31",
"AutoPrint-2026-06-10T01:30:00Z","6/10/2026 9:30 AM","88","88","0","0","6/10/2026 10:09 AM","True","True","6/18/2026 4:59 PM","40",
"AutoPrint-2026-06-09T01:30:00Z","6/9/2026 9:30 AM","3","3","0","0","6/9/2026 9:31 AM","True","True","6/18/2026 4:57 PM","1",
"AutoPrint-2026-06-09T01:30:00Z","6/9/2026 9:30 AM","3","3","0","0","6/9/2026 9:31 AM","True","True","6/18/2026 5:23 PM","1",
"日常费用报销单每日自动打印结果｜⚠️inv.comlan.com:【定时任务打印】","6/8/2026 9:30 AM","20","20","0","0","6/8/2026 9:34 AM","True","True","6/18/2026 4:39 PM","4",
"AutoPrint-2026年6月8日 09:30","6/8/2026 9:30 AM","20","20","0","0","6/8/2026 9:35 AM","True","True","6/18/2026 4:57 PM","5",
"每日报销单据打印","6/5/2026 9:30 AM","0","0","0","0","6/5/2026 9:30 AM","False","True","6/18/2026 4:55 PM","0",
"每日报销单据打印","6/4/2026 9:30 AM","0","0","0","0","6/4/2026 9:30 AM","False","True","6/18/2026 4:55 PM","0",
"AutoPrint-2026-06-03 09:30","6/3/2026 9:30 AM","0","0","0","0","6/3/2026 9:30 AM","False","True","6/18/2026 4:52 PM","0",
"每日报销单据打印","6/2/2026 9:30 AM","0","0","0","0","6/2/2026 9:30 AM","False","True","6/18/2026 4:48 PM","0",
"AutoPrint-2026-06-01T01:30:00Z","6/1/2026 9:30 AM","7","7","0","0","6/1/2026 9:31 AM","True","True","6/18/2026 4:47 PM","1",
